257 32896 266
233 256 33 0
186 78 78 0
101 149 87 0
33 209 12 0
220 182 77 0
0 61 18 0
107 130 87 0
182 51 10 0
256 241 14 0
17 32 44 0
208 129 1 0
138 4 48 0
230 54 9 0
111 13 63 0
213 221 41 0
30 51 15 0
156 160 87 0
31 161 61 0
162 84 34 0
48 129 10 0
156 54 65 0
6 79 22 0
12 93 85 0
84 143 46 0
133 90 97 0
15 130 86 0
29 41 81 0
250 235 49 0
202 240 60 0
60 5 95 0
85 253 5 0
163 237 62 0
162 96 30 0
150 216 40 0
165 8 23 0
156 216 35 0
36 106 30 0
92 183 16 0
98 143 49 0
190 65 45 0
149 225 1 0
187 36 12 0
69 67 66 0
200 233 23 0
139 99 97 0
169 191 29 0
34 155 83 0
157 37 26 0
5 52 82 0
235 126 11 0
109 181 60 0
79 88 88 0
218 251 48 0
246 118 10 0
126 34 58 0
221 176 83 0
195 194 42 0
77 74 38 0
94 135 52 0
165 168 8 0
255 26 16 0
96 41 3 0
158 252 42 0
86 62 82 0
90 238 16 0
33 61 33 0
51 194 66 0
85 171 15 0
249 20 97 0
106 121 68 0
105 76 28 0
118 56 88 0
16 23 79 0
157 203 54 0
28 135 1 0
152 108 28 0
135 199 80 0
77 6 34 0
179 228 59 0
25 225 18 0
87 203 19 0
48 191 94 0
123 112 8 0
32 186 80 0
65 16 7 0
177 87 60 0
245 38 92 0
134 58 48 0
106 217 55 0
62 90 94 0
84 205 72 0
209 185 41 0
128 119 34 0
141 195 40 0
196 12 13 0
75 142 9 0
128 88 11 0
146 2 37 0
42 217 43 0
31 244 14 0
84 218 1 0
235 166 89 0
2 37 66 0
129 37 40 0
41 13 22 0
206 209 22 0
80 220 7 0
194 256 36 0
81 69 37 0
134 36 5 0
252 221 65 0
77 169 8 0
113 110 83 0
57 155 86 0
161 43 80 0
245 31 65 0
170 238 80 0
247 176 44 0
50 57 73 0
145 208 26 0
41 174 71 0
64 119 94 0
97 122 49 0
192 12 43 0
213 35 87 0
88 202 46 0
246 48 34 0
169 0 5 0
144 241 63 0
89 60 85 0
232 178 23 0
239 142 74 0
15 180 15 0
150 234 6 0
96 194 12 0
170 58 98 0
142 47 20 0
19 251 81 0
49 53 96 0
125 196 50 0
95 37 95 0
121 194 12 0
2 226 7 0
46 234 15 0
84 118 15 0
43 201 34 0
149 157 27 0
121 236 30 0
67 174 77 0
66 199 47 0
20 194 59 0
234 255 30 0
129 91 29 0
97 138 61 0
72 121 90 0
198 78 3 0
151 224 93 0
141 227 90 0
125 183 5 0
234 110 46 0
47 105 30 0
101 176 42 0
140 148 74 0
165 178 61 0
103 136 75 0
211 202 96 0
65 161 73 0
17 56 2 0
96 65 68 0
236 9 14 0
191 55 93 0
52 87 62 0
170 165 7 0
68 244 74 0
158 212 18 0
249 132 26 0
108 69 74 0
253 139 69 0
19 219 53 0
11 65 5 0
144 14 71 0
209 82 59 0
143 194 50 0
117 241 38 0
10 179 27 0
241 236 19 0
110 249 78 0
24 109 31 0
55 107 66 0
24 93 89 0
21 53 54 0
213 89 92 0
159 88 70 0
18 129 4 0
197 103 80 0
120 198 52 0
64 133 48 0
48 207 58 0
254 153 20 0
135 57 32 0
31 135 96 0
227 180 57 0
199 89 25 0
185 7 95 0
183 71 40 0
139 101 76 0
156 196 87 0
126 42 47 0
66 56 57 0
138 36 49 0
144 254 9 0
206 135 52 0
228 5 51 0
249 130 23 0
225 100 64 0
20 104 57 0
132 195 87 0
97 237 74 0
26 1 2 0
252 247 27 0
186 2 72 0
153 15 18 0
131 19 28 0
214 245 79 0
79 138 33 0
173 154 60 0
22 120 55 0
251 253 97 0
16 45 47 0
227 249 30 0
33 255 63 0
247 7 87 0
251 235 12 0
54 28 80 0
18 147 22 0
142 166 50 0
35 148 57 0
98 176 33 0
255 170 75 0
94 84 92 0
90 58 14 0
225 107 93 0
11 102 6 0
215 165 56 0
69 115 69 0
116 231 1 0
186 5 95 0
166 225 75 0
90 163 73 0
170 255 39 0
155 135 17 0
253 147 69 0
25 4 92 0
93 76 79 0
126 220 69 0
88 146 63 0
35 105 74 0
173 245 89 0
157 34 40 0
100 110 87 0
32 55 15 0
75 138 25 0
215 138 40 0
80 180 64 0
203 187 16 0
149 216 40 0
197 32 31 0
154 53 26 0
45 180 96 0
235 215 79 0
17 160 56 0
116 138 9 0
82 29 34 0
164 201 31 0
97 208 34 0
197 163 48 0
32 144 51 0
48 168 11 0
22 65 11 0
67 15 32 0
103 248 46 0
27 84 97 0
84 51 99 0
151 101 24 0
114 39 96 0
21 192 3 0
205 42 71 0
160 133 28 0
167 183 23 0
232 233 69 0
213 132 38 0
150 210 38 0
166 122 91 0
133 68 87 0
60 194 51 0
222 185 33 0
220 81 99 0
111 74 43 0
13 114 63 0
127 116 75 0
109 203 71 0
34 180 28 0
194 144 34 0
239 123 56 0
244 124 34 0
252 169 67 0
85 256 63 0
102 202 59 0
147 118 94 0
1 156 97 0
203 36 70 0
106 108 84 0
67 101 42 0
46 43 32 0
48 99 2 0
253 4 7 0
1 227 29 0
249 75 75 0
36 151 89 0
64 36 3 0
180 201 99 0
82 154 32 0
167 178 11 0
249 52 77 0
172 40 53 0
26 49 95 0
157 76 50 0
132 239 8 0
55 215 69 0
157 23 61 0
218 124 100 0
83 10 52 0
220 202 75 0
80 126 52 0
117 110 52 0
187 144 10 0
94 127 3 0
15 251 35 0
230 249 85 0
